rank,team,player_name,source
1,HOU,Houston Texans,user weeks 1-3 streaming outlook
2,SEA,Seattle Seahawks,user weeks 1-3 streaming outlook
3,LAR,Los Angeles Rams,user weeks 1-3 streaming outlook
4,DEN,Denver Broncos,user weeks 1-3 streaming outlook
5,LAC,Los Angeles Chargers,user weeks 1-3 streaming outlook
6,JAX,Jacksonville Jaguars,user weeks 1-3 streaming outlook
7,PHI,Philadelphia Eagles,user weeks 1-3 streaming outlook
8,PIT,Pittsburgh Steelers,user weeks 1-3 streaming outlook
9,BAL,Baltimore Ravens,user weeks 1-3 streaming outlook
10,DET,Detroit Lions,user weeks 1-3 streaming outlook
